best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0111,1,14.19574236869812,1,0.0003773784363040051,0,467.619264125824,1,0.0111
0.0154,3,12.882948637008667,1,0.0003766948192977259,0,406.9727306365967,1,0.0154
0.0176,7,13.18079662322998,1,0.000373290486604271,0,359.6453204154968,1,0.0176
0.0176,10,12.576929092407227,1,0.00036898309403013153,3,338.4857120513916,1,0.0162
0.0176,17,12.615538120269775,1,0.00035334118899564814,10,290.6979079246521,1,0.015
0.0113,1,13.583087921142578,1,0.000463860994727816,0,463.3614935874939,2,0.0113
0.0157,3,13.216132640838623,1,0.0004630207154907425,0,398.3360857963562,2,0.0157
0.0181,7,12.93146800994873,1,0.0004588362232207647,0,350.6777353286743,2,0.0181
0.0181,10,12.932034015655518,1,0.00045354171984719624,3,326.71497678756714,2,0.0161
0.0181,17,12.945459842681885,1,0.00043431521157132714,10,268.5911178588867,2,0.0149
0.0113,1,13.314839363098145,1,0.00043241279111928105,0,464.7735495567322,3,0.0113
0.0153,3,12.458962202072144,1,0.0004316294799671206,0,401.2384614944458,3,0.0153
0.018,7,13.847254276275635,1,0.00042772868209352516,0,353.72468757629395,3,0.018
0.018,10,13.285553932189941,1,0.00042279312810779166,3,330.8416962623596,3,0.0164
0.018,17,13.077823877334595,1,0.00040487011194230253,10,276.48068475723267,3,0.0146
0.0112,1,12.931634187698364,1,0.0004088266389127666,0,465.9287323951721,4,0.0112
0.0152,3,12.368470430374146,1,0.0004080860538233854,0,403.59594106674194,4,0.0152
0.0179,7,13.278414249420166,1,0.00040439802674256713,0,356.1716170310974,4,0.0179
0.0179,10,13.062668085098267,1,0.00039973168479200415,3,334.0574731826782,4,0.0161
0.0179,17,12.75703239440918,1,0.0003827862876885803,10,282.5201268196106,4,0.0144
0.0113,1,13.04783010482788,1,0.0002751717760759267,0,474.67196559906006,5,0.0113
0.0136,3,13.269304990768433,1,0.00027467330534289834,0,420.6362314224243,5,0.0136
0.0169,10,13.023090600967407,1,0.00026905017234336447,1,354.3167133331299,5,0.0162
0.0173,15,13.016119718551636,1,0.00026146580654061577,0,328.1542205810547,5,0.0173
0.0173,25,12.908485174179077,1,0.00023826019692694105,10,278.6214427947998,5,0.016
0.0112,1,13.369436740875244,1,0.0003223440804889557,0,471.0547308921814,6,0.0112
0.0149,3,13.807495355606079,1,0.0003217601576303688,0,413.63010025024414,6,0.0149
0.017,10,13.64738392829895,1,0.00031517305897493943,1,346.5810480117798,6,0.016
0.0173,14,13.265039443969727,1,0.0003083329600585757,0,322.7008891105652,6,0.0173
0.0173,24,13.133023738861084,1,0.00028233433114939504,10,264.578528881073,6,0.014
0.0111,1,13.474824905395508,1,0.0003537922840974906,0,469.0072546005249,7,0.0111
0.0154,3,13.316262483596802,1,0.00035315139315399065,0,409.66364002227783,7,0.0154
0.0175,7,13.985383987426758,1,0.00034995983125331304,0,362.3880009651184,7,0.0175
0.0175,10,13.092653751373291,1,0.00034592165071434407,3,341.8658094406128,7,0.0163
0.0175,17,13.7780122756958,1,0.0003312573647419259,10,296.84748125076294,7,0.0155
0.0111,1,13.975902080535889,1,0.00039310253810827256,0,466.7520184516907,8,0.0111
0.0154,3,13.653717041015625,1,0.00039239043705953684,0,405.2565517425537,8,0.0154
0.0179,7,13.75767707824707,1,0.0003888442571678908,0,357.8840126991272,8,0.0179
0.0179,10,13.292080640792847,1,0.0003843573898998339,3,336.2605810165405,8,0.0162
0.0179,17,13.543060541152954,1,0.0003680637388101605,10,286.60448360443115,8,0.0144
0.0116,1,14.014274835586548,1,0.000511033299140845,0,461.4514584541321,9,0.0116
0.0157,3,13.924818754196167,1,0.000510107567778213,0,394.3386507034302,9,0.0157
0.0183,7,13.47742748260498,1,0.0005054975339226806,0,346.40577697753906,9,0.0183
0.0183,10,13.138472318649292,1,0.0004996646064787712,3,320.73532819747925,9,0.0161
0.0183,17,12.771381139755249,1,0.0004784828600787716,10,256.9684991836548,9,0.0139
