best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0131,1,2.037963390350342,1,0.0017678120201236394,0,48.15993547439575,1,0.0131
0.0136,3,1.0437753200531006,1,0.001764431695388334,1,43.67383909225464,1,0.0106
0.0678,10,1.2078301906585693,1,0.0017262990342133099,0,32.186275005340576,1,0.0678
0.0968,12,1.2239949703216553,1,0.0017080702783004486,0,30.06372308731079,1,0.0968
0.0968,22,1.0837931632995605,1,0.0015717329013777476,10,22.082289695739746,1,0.0916
0.0127,1,1.416633129119873,1,0.0021729356077353867,0,47.9713568687439,2,0.0127
0.0133,3,1.0803868770599365,1,0.0021687806252488778,1,42.98788928985596,2,0.0122
0.0687,10,1.2211329936981201,1,0.002121909229228432,0,30.479812622070312,2,0.0687
0.093,11,1.1968340873718262,1,0.0021111945592424027,0,29.275466918945312,2,0.093
0.093,21,1.1306917667388916,1,0.0019525784488851952,10,20.331121683120728,2,0.086
0.0126,1,1.4712958335876465,1,0.0020256179390584963,0,48.03774642944336,3,0.0126
0.0126,3,1.0663325786590576,1,0.0020217446503005667,2,43.2211856842041,3,0.0115
0.0707,10,1.2213108539581299,1,0.001978050976051895,0,31.043619632720947,3,0.0707
0.0939,12,1.297107458114624,1,0.001957163859908614,0,28.840890884399414,3,0.0939
0.0939,22,1.0990383625030518,1,0.001800943948902755,10,20.42086887359619,3,0.0857
0.011,1,1.4065914154052734,1,0.0012890295976735668,0,48.40770387649536,4,0.011
0.0127,3,1.0645959377288818,1,0.0012865647775547105,1,44.620022773742676,4,0.0116
0.0562,10,1.2274847030639648,1,0.0012587597121217773,0,34.88540029525757,4,0.0562
0.0943,15,1.2157061100006104,1,0.0012212568133942866,0,30.273493766784668,4,0.0943
0.0943,25,1.1239910125732422,1,0.0011065105511641707,10,24.1416757106781,4,0.0886
0.013,1,1.5078139305114746,1,0.0015100061001890217,0,48.29019260406494,5,0.013
0.013,3,1.060502052307129,1,0.0015071187394782523,2,44.15877294540405,5,0.0102
0.0705,10,1.3498172760009766,1,0.001474547091398441,0,33.52937984466553,5,0.0705
0.0951,15,1.2162318229675293,1,0.0014306151243160042,0,28.81004238128662,5,0.0951
0.0951,25,1.0647845268249512,1,0.0012961980742699259,10,22.267622709274292,5,0.0878
0.0127,1,1.4776487350463867,1,0.0019151296878007688,0,48.08924388885498,6,0.0127
0.0142,3,1.1290698051452637,1,0.0019114676693387958,1,43.41652488708496,6,0.0112
0.0692,10,1.230846881866455,1,0.0018701572864135633,0,31.531644344329834,6,0.0692
0.0962,12,1.2816874980926514,1,0.001850409467514836,0,29.36855936050415,6,0.0962
0.0962,22,1.0581769943237305,1,0.0017027106425666456,10,21.13030171394348,6,0.088
0.0131,1,1.3856966495513916,1,0.0018414708539622043,0,48.12427473068237,7,0.0131
0.0138,3,1.0328431129455566,1,0.001837949682363565,1,43.542903423309326,7,0.0109
0.0687,10,1.169497013092041,1,0.0017982281603134368,0,31.849209308624268,7,0.0687
0.0971,12,1.1729166507720947,1,0.0017792398729076424,0,29.70253324508667,7,0.0971
0.0971,22,1.0097930431365967,1,0.0016372217719721966,10,21.600833415985107,7,0.0899
0.0131,1,1.3667149543762207,1,0.001657323768865912,0,48.2148118019104,8,0.0131
0.0131,3,0.9740371704101562,1,0.0016541547144265632,2,43.8765606880188,8,0.0099
0.0679,10,1.4277801513671875,1,0.001618405344574978,0,32.728607177734375,8,0.0679
0.095,15,1.3749964237213135,1,0.0015701873319128815,0,27.904313564300537,8,0.095
0.095,25,1.1551885604858398,1,0.0014226564232931627,10,21.100282907485962,8,0.0868
0.0128,1,1.8353097438812256,1,0.0023939121102508417,0,47.876548767089844,9,0.0128
0.0141,3,1.5364763736724854,1,0.0023893345871724195,0,42.639400482177734,9,0.0141
0.0713,10,1.3410382270812988,1,0.0023376966085050964,0,29.636942863464355,9,0.0713
0.094,16,1.433835744857788,1,0.0022510035061842014,0,23.088045358657837,9,0.094
0.094,26,1.0683772563934326,1,0.0020288276877309243,10,15.654784917831421,9,0.083
