global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,setting_id,setting_key,setting_desc,setting_group,setting_detail,hparam_id,run_id
0.078600,0.078600,P11_A04_H1_S1,P11-04_MACRO_ONLY | base_ablation | Macro-only horizon,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,4,running,0.160200,,,,,,2026-03-23T12:44:44.812398Z,P11,A,stage_semantics,04,P11-04_MACRO_ONLY,MACRO_ONLY,base_ablation,Macro-only horizon,1,A04_H1_S1
0.080100,0.080100,P11_A03_H1_S1,P11-03_MACRO_MID | base_ablation | Drop micro stage,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,3,running,0.160400,,,,,,2026-03-23T12:44:56.827239Z,P11,A,stage_semantics,03,P11-03_MACRO_MID,MACRO_MID,base_ablation,Drop micro stage,1,A03_H1_S1
0.080600,0.080600,P11_A00_H1_S1,P11-00_MACRO_MID_MICRO | base_ablation | Full 3-stage baseline,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161000,,,,,,2026-03-23T12:45:35.873545Z,P11,A,stage_semantics,00,P11-00_MACRO_MID_MICRO,MACRO_MID_MICRO,base_ablation,Full 3-stage baseline,1,A00_H1_S1
0.080900,0.080900,P11_A07_H1_S1,P11-07_LAYER_MACRO_MID_MICRO | prepend_layer | Dense layer before full 3-stage,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,7,running,0.161700,,,,,,2026-03-23T12:47:14.989042Z,P11,A,stage_semantics,07,P11-07_LAYER_MACRO_MID_MICRO,LAYER_MACRO_MID_MICRO,prepend_layer,Dense layer before full 3-stage,1,A07_H1_S1
0.081000,0.081000,P11_A07_H1_S1,P11-07_LAYER_MACRO_MID_MICRO | prepend_layer | Dense layer before full 3-stage,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,7,running,0.161700,,,,,,2026-03-23T12:54:09.490017Z,P11,A,stage_semantics,07,P11-07_LAYER_MACRO_MID_MICRO,LAYER_MACRO_MID_MICRO,prepend_layer,Dense layer before full 3-stage,1,A07_H1_S1
0.081100,0.081100,P11_A00_H1_S1,P11-00_MACRO_MID_MICRO | base_ablation | Full 3-stage baseline,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161800,,,,,,2026-03-23T12:56:00.620954Z,P11,A,stage_semantics,00,P11-00_MACRO_MID_MICRO,MACRO_MID_MICRO,base_ablation,Full 3-stage baseline,1,A00_H1_S1
0.081200,0.081200,P11_A00_H1_S1,P11-00_MACRO_MID_MICRO | base_ablation | Full 3-stage baseline,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161600,,,,,,2026-03-23T13:08:55.530056Z,P11,A,stage_semantics,00,P11-00_MACRO_MID_MICRO,MACRO_MID_MICRO,base_ablation,Full 3-stage baseline,1,A00_H1_S1
0.081200,0.079700,P11_A05_H1_S1,P11-05_MID_ONLY | base_ablation | Mid-only horizon,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.160500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p11_a05_h1_s1_20260323_124148_356440_pid371423.json,2026-03-23T13:46:55.702298Z,P11,A,stage_semantics,05,P11-05_MID_ONLY,MID_ONLY,base_ablation,Mid-only horizon,1,A05_H1_S1
0.081300,0.081300,P11_A00_H1_S1,P11-00_MACRO_MID_MICRO | base_ablation | Full 3-stage baseline,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.161500,,,,,,2026-03-23T13:51:14.016721Z,P11,A,stage_semantics,00,P11-00_MACRO_MID_MICRO,MACRO_MID_MICRO,base_ablation,Full 3-stage baseline,1,A00_H1_S1
0.081300,0.078900,P11_A06_H1_S1,P11-06_MICRO_ONLY | base_ablation | Micro-only horizon,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.161400,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p11_a06_h1_s1_20260323_124148_497254_pid371424.json,2026-03-23T13:51:32.459398Z,P11,A,stage_semantics,06,P11-06_MICRO_ONLY,MICRO_ONLY,base_ablation,Micro-only horizon,1,A06_H1_S1
0.081300,0.078900,P11_A04_H1_S1,P11-04_MACRO_ONLY | base_ablation | Macro-only horizon,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.160900,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p11_a04_h1_s1_20260323_124148_580194_pid371421.json,2026-03-23T13:53:12.014984Z,P11,A,stage_semantics,04,P11-04_MACRO_ONLY,MACRO_ONLY,base_ablation,Macro-only horizon,1,A04_H1_S1
0.081300,0.079400,P11_A02_H1_S1,P11-02_MACRO_MICRO | base_ablation | Drop mid stage,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,2,run_complete,0.161500,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p11_a02_h1_s1_20260323_124148_518660_pid371419.json,2026-03-23T13:58:09.805276Z,P11,A,stage_semantics,02,P11-02_MACRO_MICRO,MACRO_MICRO,base_ablation,Drop mid stage,1,A02_H1_S1
0.081400,0.081400,P11_A14_H1_S1,P11-14_MACRO_MICRO_MID | order_permutation | Permutation macro->micro->mid,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,6,running,0.162400,,,,,,2026-03-23T14:07:55.511152Z,P11,A,stage_semantics,14,P11-14_MACRO_MICRO_MID,MACRO_MICRO_MID,order_permutation,Permutation macro->micro->mid,1,A14_H1_S1
0.082900,0.082900,P11_A00_H1_S1,P11-00_MACRO_MID_MICRO | base_ablation | Full 3-stage baseline,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.157300,,,,,,2026-03-23T14:08:43.569432Z,P11,A,stage_semantics,00,P11-00_MACRO_MID_MICRO,MACRO_MID_MICRO,base_ablation,Full 3-stage baseline,1,A00_H1_S1
0.082900,0.080400,P11_A01_H1_S1,P11-01_MID_MICRO | base_ablation | Drop macro stage,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,run_complete,0.161700,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p11_a01_h1_s1_20260323_124148_301475_pid371417.json,2026-03-23T14:08:44.007626Z,P11,A,stage_semantics,01,P11-01_MID_MICRO,MID_MICRO,base_ablation,Drop macro stage,1,A01_H1_S1
0.082900,0.082900,P11_A00_H1_S1,P11-00_MACRO_MID_MICRO | base_ablation | Full 3-stage baseline,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.157300,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p11_a00_h1_s1_20260323_124148_359944_pid371416.json,2026-03-23T14:27:42.778071Z,P11,A,stage_semantics,00,P11-00_MACRO_MID_MICRO,MACRO_MID_MICRO,base_ablation,Full 3-stage baseline,1,A00_H1_S1
0.082900,0.080500,P11_A03_H1_S1,P11-03_MACRO_MID | base_ablation | Drop micro stage,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,3,run_complete,0.161900,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p11_a03_h1_s1_20260323_124148_496046_pid371420.json,2026-03-23T14:29:58.357626Z,P11,A,stage_semantics,03,P11-03_MACRO_MID,MACRO_MID,base_ablation,Drop micro stage,1,A03_H1_S1
0.082900,0.081100,P11_A07_H1_S1,P11-07_LAYER_MACRO_MID_MICRO | prepend_layer | Dense layer before full 3-stage,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.161800,20,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p11_a07_h1_s1_20260323_124148_399792_pid371425.json,2026-03-23T14:32:47.031258Z,P11,A,stage_semantics,07,P11-07_LAYER_MACRO_MID_MICRO,LAYER_MACRO_MID_MICRO,prepend_layer,Dense layer before full 3-stage,1,A07_H1_S1
