global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,pair_id,phase_kind,architecture_id,architecture_key,architecture_name,setting_id,setting_key,setting_desc,setting_group,setting_detail,hparam_id,source_hparam_id,target_hparam_id,transfer_mode,source_dataset,target_dataset,source_checkpoint,source_run_phase,run_id
0.113800,0.113800,P15A_SRC_foursquare_to_movielens_A12_H3_S1,A12 source H3,transfer_stageA,trial_new_best,foursquare,1,3,running,0.112200,,,,,,2026-04-13T02:20:22.159077Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,source_pretrain,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_SRC_foursquare_to_movielens_A12_H3_S1,SRC_foursquare_to_movielens_A12_H3,foursquare_to_movielens source pretrain A12 H3,source_pretrain,source_dataset=foursquare target_dataset=movielens1m,H3,H3,,none,foursquare,movielens1m,,,foursquare_to_movielens_A12_SRC_H3_S1
0.118300,0.118300,P15A_SRC_foursquare_to_movielens_A12_H3_S1,A12 source H3,transfer_stageA,trial_new_best,foursquare,1,3,running,0.113300,,,,,,2026-04-13T02:22:10.280653Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,source_pretrain,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_SRC_foursquare_to_movielens_A12_H3_S1,SRC_foursquare_to_movielens_A12_H3,foursquare_to_movielens source pretrain A12 H3,source_pretrain,source_dataset=foursquare target_dataset=movielens1m,H3,H3,,none,foursquare,movielens1m,,,foursquare_to_movielens_A12_SRC_H3_S1
0.118300,0.118300,P15A_SRC_foursquare_to_movielens_A12_H3_S1,A12 source H3,transfer_stageA,run_complete,foursquare,1,3,run_complete_no_result,0.113300,,,False,False,,2026-04-13T02:24:12.427366Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,source_pretrain,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_SRC_foursquare_to_movielens_A12_H3_S1,SRC_foursquare_to_movielens_A12_H3,foursquare_to_movielens source pretrain A12 H3,source_pretrain,source_dataset=foursquare target_dataset=movielens1m,H3,H3,,none,foursquare,movielens1m,,,foursquare_to_movielens_A12_SRC_H3_S1
0.118300,0.112900,P15A_SRC_foursquare_to_movielens_A12_H5_S1,A12 source H5,transfer_stageA,run_complete,foursquare,1,2,run_complete_no_result,0.106600,,,False,False,,2026-04-13T02:25:26.656996Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,source_pretrain,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_SRC_foursquare_to_movielens_A12_H5_S1,SRC_foursquare_to_movielens_A12_H5,foursquare_to_movielens source pretrain A12 H5,source_pretrain,source_dataset=foursquare target_dataset=movielens1m,H5,H5,,none,foursquare,movielens1m,,,foursquare_to_movielens_A12_SRC_H5_S1
0.118300,0.074300,P15A_TGT_foursquare_to_movielens_A12_native_native_H3_S1,A12 native H3,transfer_stageA,run_complete,movielens1m,1,3,run_complete_no_result,0.063500,,,False,False,,2026-04-13T22:54:10.329627Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_foursquare_to_movielens_A12_native_native_H3_S1,native_foursquare_to_movielens_A12_native_H3,foursquare_to_movielens A12 native native->H3,target_native,source=foursquare target=movielens1m mode=none,H3,,H3,none,foursquare,movielens1m,,,foursquare_to_movielens_A12_native_native_H3_S1
0.118300,0.077200,P15A_TGT_foursquare_to_movielens_A12_native_native_H5_S1,A12 native H5,transfer_stageA,run_complete,movielens1m,1,2,run_complete_no_result,0.070200,,,False,False,,2026-04-13T23:14:50.179060Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_foursquare_to_movielens_A12_native_native_H5_S1,native_foursquare_to_movielens_A12_native_H5,foursquare_to_movielens A12 native native->H5,target_native,source=foursquare target=movielens1m mode=none,H5,,H5,none,foursquare,movielens1m,,,foursquare_to_movielens_A12_native_native_H5_S1
0.118300,0.074300,P15A_TGT_foursquare_to_movielens_A12_feature_init_H3_H3_S1,A12 feature_init H3,transfer_stageA,run_complete,movielens1m,1,3,run_complete_no_result,0.063500,,,False,False,,2026-04-13T23:43:15.623444Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_foursquare_to_movielens_A12_feature_init_H3_H3_S1,feature_init_foursquare_to_movielens_A12_H3_H3,foursquare_to_movielens A12 feature_init H3->H3,target_feature_init,source=foursquare target=movielens1m mode=macro_feature_encoder,H3,H3,H3,macro_feature_encoder,foursquare,movielens1m,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/foursquare_to_movielens/foursquare_H3_s1_best.pth,P15A_SRC_foursquare_to_movielens_A12_H3_S1,foursquare_to_movielens_A12_feature_init_H3_H3_S1
0.118300,0.076400,P15A_TGT_foursquare_to_movielens_A12_group_init_H3_H3_S1,A12 group_init H3,transfer_stageA,run_complete,movielens1m,1,2,run_complete_no_result,0.071900,,,False,False,,2026-04-14T00:00:49.330560Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_foursquare_to_movielens_A12_group_init_H3_H3_S1,group_init_foursquare_to_movielens_A12_H3_H3,foursquare_to_movielens A12 group_init H3->H3,target_group_init,source=foursquare target=movielens1m mode=macro_group_router,H3,H3,H3,macro_group_router,foursquare,movielens1m,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/foursquare_to_movielens/foursquare_H3_s1_best.pth,P15A_SRC_foursquare_to_movielens_A12_H3_S1,foursquare_to_movielens_A12_group_init_H3_H3_S1
0.118300,0.000000,P15A_TGT_foursquare_to_movielens_A12_full_arch_init_H3_H3_S1,A12 full_arch_init H3,transfer_stageA,run_complete,movielens1m,1,2,run_complete_no_result,0.000000,,,False,False,,2026-04-14T00:01:21.799878Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_foursquare_to_movielens_A12_full_arch_init_H3_H3_S1,full_arch_init_foursquare_to_movielens_A12_H3_H3,foursquare_to_movielens A12 full_arch_init H3->H3,target_full_arch_init,source=foursquare target=movielens1m mode=full_model,H3,H3,H3,full_model,foursquare,movielens1m,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/foursquare_to_movielens/foursquare_H3_s1_best.pth,P15A_SRC_foursquare_to_movielens_A12_H3_S1,foursquare_to_movielens_A12_full_arch_init_H3_H3_S1
0.118300,0.077000,P15A_TGT_foursquare_to_movielens_A12_encoder_all_init_H3_H3_S1,A12 encoder_all_init H3,transfer_stageA,run_complete,movielens1m,1,3,run_complete_no_result,0.069500,,,False,False,,2026-04-14T00:32:41.430990Z,P15A,TLA,transfer_learning_stageA_v1,foursquare_to_movielens,target_sweep,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,P15A_TGT_foursquare_to_movielens_A12_encoder_all_init_H3_H3_S1,encoder_all_init_foursquare_to_movielens_A12_H3_H3,foursquare_to_movielens A12 encoder_all_init H3->H3,target_encoder_all_init,source=foursquare target=movielens1m mode=macro_encoder_all,H3,H3,H3,macro_encoder_all,foursquare,movielens1m,/workspace/FeaturedMoE/experiments/run/fmoe_n3/transfer_learning/ckpt/stageA/A12/foursquare_to_movielens/foursquare_H3_s1_best.pth,P15A_SRC_foursquare_to_movielens_A12_H3_S1,foursquare_to_movielens_A12_encoder_all_init_H3_H3_S1
