model,best_mrr20_group,best_mrr20_run,best_mrr20_trial,best_hr10_group,best_hr10_run,best_hr10_trial,test_mrr20_group,test_mrr20_run,test_mrr20_trial,test_hr10_group,test_hr10_run,test_hr10_trial,hit_best_mrr20,hit_best_hr10,hit_test_mrr20,hit_test_hr10,trial_idx,trials_progress,status,run_phase,group_key,experiment_note,trial_knobs,log_rel_path
bsarec,0.3656,0.3656,0.3656,0.4141,0.4141,0.4141,0.3446,0.3446,0.3446,0.3924,0.3924,0.3924,Y,Y,Y,Y,1,1/10,success,P0_A_pair02_C1,bsarec,C1 hi_bs_short,drop=0.15 lr=0.000633 wd=0,P0/bsarec_025_a_c1_hi_bs_short.log
bsarec,0.3863,0.3863,0.3863,0.4363,0.4363,0.4363,0.3658,0.3658,0.3658,0.4141,0.4141,0.4141,Y,Y,Y,Y,2,2/10,success,P0_A_pair02_C1,bsarec,C1 hi_bs_short,drop=0.05 lr=0.000603 wd=0.0001,P0/bsarec_025_a_c1_hi_bs_short.log
bsarec,0.3863,0.3863,0.3687,0.4365,0.4365,0.4365,0.3658,0.3658,0.3465,0.4141,0.4141,0.4121,,Y,,,7,7/10,success,P0_A_pair02_C1,bsarec,C1 hi_bs_short,drop=0.10 lr=0.00296 wd=0.0001,P0/bsarec_025_a_c1_hi_bs_short.log
bsarec,0.3904,0.3904,0.3904,0.4433,0.4433,0.4433,0.3665,0.3665,0.3665,0.4193,0.4193,0.4193,Y,Y,Y,Y,10,10/10,success,P0_A_pair02_C1,bsarec,C1 hi_bs_short,drop=0.05 lr=0.000358 wd=0.0005,P0/bsarec_025_a_c1_hi_bs_short.log
bsarec,0.3904,0.3693,0.3693,0.4433,0.4141,0.4141,0.3665,0.3488,0.3488,0.4193,0.3923,0.3923,Y,Y,Y,Y,1,1/10,running,P0_A_pair02_C2,bsarec,C2 std_bs_mid,drop=0.20 lr=0.000406 wd=0,P0/bsarec_028_a_c2_std_bs_mid.log
bsarec,0.3930,0.3930,0.3930,0.4486,0.4486,0.4486,0.3727,0.3727,0.3727,0.4253,0.4253,0.4253,Y,Y,Y,Y,2,2/10,running,P0_A_pair02_C2,bsarec,C2 std_bs_mid,drop=0.10 lr=0.000386 wd=0.0001,P0/bsarec_028_a_c2_std_bs_mid.log
fame,0.3703,0.3703,0.3703,0.4143,0.4143,0.4143,0.3499,0.3499,0.3499,0.3921,0.3921,0.3921,Y,Y,Y,Y,1,1/10,success,P0_A_pair02_C1,fame,C1 hi_bs_short,drop=0.15 lr=0.000406 wd=0,P0/fame_026_a_c1_hi_bs_short.log
fame,0.3879,0.3879,0.3879,0.4394,0.4394,0.4394,0.3660,0.3660,0.3660,0.4158,0.4158,0.4158,Y,Y,Y,Y,2,2/10,success,P0_A_pair02_C1,fame,C1 hi_bs_short,drop=0.05 lr=0.000386 wd=0.0001,P0/fame_026_a_c1_hi_bs_short.log
fame,0.3879,0.3879,0.3749,0.4402,0.4402,0.4402,0.3660,0.3660,0.3533,0.4162,0.4162,0.4162,,Y,,Y,7,7/10,success,P0_A_pair02_C1,fame,C1 hi_bs_short,drop=0.10 lr=0.00198 wd=0.0001,P0/fame_026_a_c1_hi_bs_short.log
fame,0.3879,0.3879,0.3870,0.4402,0.4402,0.4382,0.3663,0.3663,0.3663,0.4162,0.4162,0.4155,,,Y,,10,10/10,success,P0_A_pair02_C1,fame,C1 hi_bs_short,drop=0.05 lr=0.000226 wd=0.0005,P0/fame_026_a_c1_hi_bs_short.log
fame,0.3879,0.3603,0.3603,0.4402,0.4029,0.4029,0.3663,0.3420,0.3420,0.4162,0.3830,0.3830,Y,Y,Y,Y,1,1/10,success,P0_A_pair02_C2,fame,C2 std_bs_mid,drop=0.20 lr=0.000253 wd=0,P0/fame_027_a_c2_std_bs_mid.log
fame,0.3936,0.3936,0.3936,0.4533,0.4533,0.4533,0.3724,0.3724,0.3724,0.4302,0.4302,0.4302,Y,Y,Y,Y,2,2/10,success,P0_A_pair02_C2,fame,C2 std_bs_mid,drop=0.10 lr=0.000241 wd=0.0001,P0/fame_027_a_c2_std_bs_mid.log
fame,0.3936,0.3936,0.3771,0.4538,0.4538,0.4538,0.3724,0.3724,0.3565,0.4317,0.4317,0.4317,,Y,,Y,7,7/10,success,P0_A_pair02_C2,fame,C2 std_bs_mid,drop=0.15 lr=0.00119 wd=0.0001,P0/fame_027_a_c2_std_bs_mid.log
fame,0.3936,0.3936,0.3913,0.4567,0.4567,0.4567,0.3724,0.3724,0.3707,0.4342,0.4342,0.4342,,Y,,Y,10,10/10,success,P0_A_pair02_C2,fame,C2 std_bs_mid,drop=0.10 lr=0.000143 wd=0.0005,P0/fame_027_a_c2_std_bs_mid.log
gru4rec,0.3751,0.3751,0.3751,0.4293,0.4293,0.4293,0.3387,0.3387,0.3387,0.3903,0.3903,0.3903,Y,Y,Y,Y,1,1/10,success,P0_A_pair01_C1,gru4rec,C1 hi_bs_short,drop=0.15 lr=0.000988 wd=0,P0/gru4rec_018_a_c1_hi_bs_short.log
gru4rec,0.3766,0.3766,0.3766,0.4320,0.4320,0.4320,0.3430,0.3430,0.3430,0.3985,0.3985,0.3985,Y,Y,Y,Y,2,2/10,success,P0_A_pair01_C1,gru4rec,C1 hi_bs_short,drop=0.05 lr=0.000939 wd=0.0001,P0/gru4rec_018_a_c1_hi_bs_short.log
gru4rec,0.3766,0.3766,0.3712,0.4328,0.4328,0.4328,0.3430,0.3430,0.3422,0.4033,0.4033,0.4033,,Y,,Y,7,7/10,success,P0_A_pair01_C1,gru4rec,C1 hi_bs_short,drop=0.10 lr=0.00494 wd=0.0001,P0/gru4rec_018_a_c1_hi_bs_short.log
gru4rec,0.3797,0.3797,0.3797,0.4338,0.4338,0.4338,0.3446,0.3446,0.3446,0.4033,0.4033,0.3976,Y,Y,Y,,8,8/10,success,P0_A_pair01_C1,gru4rec,C1 hi_bs_short,drop=0.00 lr=0.00242 wd=1e-05,P0/gru4rec_018_a_c1_hi_bs_short.log
gru4rec,0.3797,0.3726,0.3726,0.4338,0.4256,0.4256,0.3446,0.3352,0.3352,0.4033,0.3849,0.3849,Y,Y,Y,Y,1,1/10,running,P0_A_pair01_C2,gru4rec,C2 std_bs_mid,drop=0.20 lr=0.000633 wd=0,P0/gru4rec_020_a_c2_std_bs_mid.log
gru4rec,0.3797,0.3729,0.3729,0.4338,0.4298,0.4298,0.3446,0.3397,0.3397,0.4033,0.3943,0.3943,Y,Y,Y,Y,2,2/10,running,P0_A_pair01_C2,gru4rec,C2 std_bs_mid,drop=0.10 lr=0.000603 wd=0.0001,P0/gru4rec_020_a_c2_std_bs_mid.log
gru4rec,0.3797,0.3751,0.3751,0.4338,0.4293,0.4293,0.3446,0.3387,0.3387,0.4033,0.3903,0.3903,Y,Y,Y,Y,1,1/10,success,P0_A_pair01_C1,gru4rec,C1 hi_bs_short,drop=0.15 lr=0.000988 wd=0,P0/gru4rec_021_a_c1_hi_bs_short.log
gru4rec,0.3797,0.3766,0.3766,0.4338,0.4320,0.4320,0.3446,0.3430,0.3430,0.4033,0.3985,0.3985,Y,Y,Y,Y,2,2/10,success,P0_A_pair01_C1,gru4rec,C1 hi_bs_short,drop=0.05 lr=0.000939 wd=0.0001,P0/gru4rec_021_a_c1_hi_bs_short.log
gru4rec,0.3797,0.3766,0.3712,0.4338,0.4328,0.4328,0.3446,0.3430,0.3422,0.4033,0.4033,0.4033,,Y,,Y,7,7/10,success,P0_A_pair01_C1,gru4rec,C1 hi_bs_short,drop=0.10 lr=0.00494 wd=0.0001,P0/gru4rec_021_a_c1_hi_bs_short.log
gru4rec,0.3797,0.3797,0.3797,0.4338,0.4338,0.4338,0.3446,0.3446,0.3446,0.4033,0.4033,0.3976,Y,Y,Y,,8,8/10,success,P0_A_pair01_C1,gru4rec,C1 hi_bs_short,drop=0.00 lr=0.00242 wd=1e-05,P0/gru4rec_021_a_c1_hi_bs_short.log
gru4rec,0.3797,0.3726,0.3726,0.4338,0.4256,0.4256,0.3446,0.3352,0.3352,0.4033,0.3849,0.3849,Y,Y,Y,Y,1,1/10,success,P0_A_pair01_C2,gru4rec,C2 std_bs_mid,drop=0.20 lr=0.000633 wd=0,P0/gru4rec_024_a_c2_std_bs_mid.log
gru4rec,0.3797,0.3729,0.3729,0.4338,0.4298,0.4298,0.3446,0.3397,0.3397,0.4033,0.3943,0.3943,Y,Y,Y,Y,2,2/10,success,P0_A_pair01_C2,gru4rec,C2 std_bs_mid,drop=0.10 lr=0.000603 wd=0.0001,P0/gru4rec_024_a_c2_std_bs_mid.log
gru4rec,0.3797,0.3729,0.3693,0.4338,0.4304,0.4304,0.3446,0.3405,0.3405,0.4033,0.3983,0.3983,,Y,Y,Y,7,7/10,success,P0_A_pair01_C2,gru4rec,C2 std_bs_mid,drop=0.15 lr=0.00296 wd=0.0001,P0/gru4rec_024_a_c2_std_bs_mid.log
gru4rec,0.3797,0.3758,0.3758,0.4338,0.4304,0.4270,0.3446,0.3408,0.3408,0.4033,0.3983,0.3910,Y,,Y,,8,8/10,success,P0_A_pair01_C2,gru4rec,C2 std_bs_mid,drop=0.05 lr=0.0015 wd=1e-05,P0/gru4rec_024_a_c2_std_bs_mid.log
sasrec,0.4008,0.4008,0.4008,0.4718,0.4718,0.4718,0.3801,0.3801,0.3801,0.4492,0.4492,0.4492,Y,Y,Y,Y,1,1/10,success,P0_A_pair01_C1,sasrec,C1 hi_bs_short,drop=0.15 lr=0.000988 wd=0,P0/sasrec_017_a_c1_hi_bs_short.log
sasrec,0.4008,0.4008,0.3964,0.4727,0.4727,0.4727,0.3801,0.3801,0.3758,0.4495,0.4495,0.4495,,Y,,Y,4,4/10,success,P0_A_pair01_C1,sasrec,C1 hi_bs_short,drop=0.05 lr=0.000173 wd=5e-05,P0/sasrec_017_a_c1_hi_bs_short.log
sasrec,0.4008,0.4008,0.3628,0.4782,0.4782,0.4782,0.3801,0.3801,0.3496,0.4576,0.4576,0.4576,,Y,,Y,5,5/10,success,P0_A_pair01_C1,sasrec,C1 hi_bs_short,drop=0.10 lr=0.000106 wd=1e-06,P0/sasrec_017_a_c1_hi_bs_short.log
sasrec,0.4008,0.4000,0.4000,0.4782,0.4727,0.4727,0.3801,0.3781,0.3781,0.4576,0.4504,0.4504,Y,Y,Y,Y,1,1/10,running,P0_A_pair01_C2,sasrec,C2 std_bs_mid,drop=0.20 lr=0.000633 wd=0,P0/sasrec_019_a_c2_std_bs_mid.log
sasrec,0.4008,0.4004,0.4004,0.4782,0.4727,0.4696,0.3801,0.3781,0.3761,0.4576,0.4504,0.4439,Y,,,,2,2/10,running,P0_A_pair01_C2,sasrec,C2 std_bs_mid,drop=0.10 lr=0.000603 wd=0.0001,P0/sasrec_019_a_c2_std_bs_mid.log
sasrec,0.4008,0.4004,0.3729,0.4782,0.4759,0.4759,0.3801,0.3781,0.3574,0.4576,0.4545,0.4545,,Y,,Y,3,3/10,running,P0_A_pair01_C2,sasrec,C2 std_bs_mid,drop=0.05 lr=6.76e-05 wd=0,P0/sasrec_019_a_c2_std_bs_mid.log
