paper_section,panel,dataset,variant_or_model,metric,cutoff,value,split,selection_rule,run_id,source_path,notes,status
Q4,Q4_cue_scores,Beauty,full,NDCG,20,0.076,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Beauty,full,HR,10,0.128,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Beauty,remove_category,NDCG,20,0.073,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Beauty,remove_category,HR,10,0.123,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Beauty,remove_time,NDCG,20,0.072,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Beauty,remove_time,HR,10,0.122,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Beauty,sequence_only_portable,NDCG,20,0.071,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Beauty,sequence_only_portable,HR,10,0.119,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Foursquare,full,NDCG,20,0.143,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Foursquare,full,HR,10,0.246,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Foursquare,remove_category,NDCG,20,0.139,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Foursquare,remove_category,HR,10,0.24,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Foursquare,remove_time,NDCG,20,0.137,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Foursquare,remove_time,HR,10,0.236,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Foursquare,sequence_only_portable,NDCG,20,0.132,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Foursquare,sequence_only_portable,HR,10,0.227,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,KuaiRec,full,NDCG,20,0.118,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,KuaiRec,full,HR,10,0.184,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,KuaiRec,remove_category,NDCG,20,0.117,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,KuaiRec,remove_category,HR,10,0.182,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,KuaiRec,remove_time,NDCG,20,0.116,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,KuaiRec,remove_time,HR,10,0.18,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,KuaiRec,sequence_only_portable,NDCG,20,0.113,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,KuaiRec,sequence_only_portable,HR,10,0.176,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Retail Rocket,full,NDCG,20,0.249,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Retail Rocket,full,HR,10,0.558,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Retail Rocket,remove_category,NDCG,20,0.243,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Retail Rocket,remove_category,HR,10,0.551,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Retail Rocket,remove_time,NDCG,20,0.24,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Retail Rocket,remove_time,HR,10,0.545,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Retail Rocket,sequence_only_portable,NDCG,20,0.235,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
Q4,Q4_cue_scores,Retail Rocket,sequence_only_portable,HR,10,0.537,test,best_valid_seen_target,template_seed,writing/results/04_cue_ablation/04a_cue_ablation.csv,Draft-fill cue ablation summary. Replace with confirm export.,draft_fill
