global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,architecture_id,architecture_name,tuning_stage,family_id,family_group,variant_id,capacity_anchor,selected_from_stage,selection_score,search_algo,source_family_id,stage_group,template_count,aux_route_consistency_lambda,aux_z_loss_lambda
0.015900,0.015900,P4XD_XD_AMAZON_BEAUTY_A02_H4_TINY_REG_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,trial_new_best,amazon_beauty,1,1,running,0.000000,,,,,,2026-04-15T11:12:41.981449Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A02_h4_tiny_reg,template,exploit,H4,compact_amazon_probe,tiny regularized amazon probe,tpe,compact_amazon_probe,cross_dataset,12,0.0008,0.0002
0.023800,0.023800,P4XD_XD_AMAZON_BEAUTY_A04_H12_MICROTINY_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,trial_new_best,amazon_beauty,1,3,running,0.000000,,,,,,2026-04-15T11:12:41.981999Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A04_h12_microtiny,template,exploit,H12,v3_amazon_small_bank,very small amazon control,tpe,v3_amazon_small_bank,cross_dataset,12,0.0008,0.0002
0.024900,0.024900,P4XD_XD_AMAZON_BEAUTY_A05_H14_CAPACITY_TRANSFER_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,trial_new_best,amazon_beauty,1,4,running,0.000000,,,,,,2026-04-15T11:12:44.986253Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A05_h14_capacity_transfer,template,transfer,H14,kuai_h14_capacity,capacity transfer from Kuai,tpe,kuai_h14_capacity,cross_dataset,12,0.0005,0.0001
0.027000,0.027000,P4XD_XD_AMAZON_BEAUTY_A04_H12_MICROTINY_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,trial_new_best,amazon_beauty,1,3,running,0.002100,,,,,,2026-04-15T11:12:47.990572Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A04_h12_microtiny,template,exploit,H12,v3_amazon_small_bank,very small amazon control,tpe,v3_amazon_small_bank,cross_dataset,12,0.0008,0.0002
0.034900,0.034900,P4XD_XD_AMAZON_BEAUTY_A04_H12_MICROTINY_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,trial_new_best,amazon_beauty,1,3,running,0.002100,,,,,,2026-04-15T11:12:57.002908Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A04_h12_microtiny,template,exploit,H12,v3_amazon_small_bank,very small amazon control,tpe,v3_amazon_small_bank,cross_dataset,12,0.0008,0.0002
0.059500,0.059500,P4XD_XD_AMAZON_BEAUTY_A08_H6_E2_COMPACT_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,trial_new_best,amazon_beauty,1,7,running,0.014200,,,,,,2026-04-15T11:13:06.014734Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A08_h6_e2_compact,template,transfer,H6,kuai_h6_e2_core,compact stable transfer,tpe,kuai_h6_e2_core,cross_dataset,12,0.0005,0.0001
0.059800,0.059800,P4XD_XD_AMAZON_BEAUTY_A06_H16_WIDTH_TUNE_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,trial_new_best,amazon_beauty,1,5,running,0.002800,,,,,,2026-04-15T11:13:12.023786Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A06_h16_width_tune,template,explore,H16,v3_amazon_h16,amazon width/depth mix,tpe,v3_amazon_h16,cross_dataset,12,0.0008,0.0002
0.059800,0.015900,P4XD_XD_AMAZON_BEAUTY_A02_H4_TINY_REG_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,1,run_complete_no_result,0.000000,,,False,False,,2026-04-15T11:13:46.370752Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A02_h4_tiny_reg,template,exploit,H4,compact_amazon_probe,tiny regularized amazon probe,tpe,compact_amazon_probe,cross_dataset,12,0.0008,0.0002
0.059800,0.034900,P4XD_XD_AMAZON_BEAUTY_A04_H12_MICROTINY_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,3,run_complete_no_result,0.002100,,,False,False,,2026-04-15T11:14:08.631194Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A04_h12_microtiny,template,exploit,H12,v3_amazon_small_bank,very small amazon control,tpe,v3_amazon_small_bank,cross_dataset,12,0.0008,0.0002
0.076600,0.076600,P4XD_XD_AMAZON_BEAUTY_A06_H16_WIDTH_TUNE_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,trial_new_best,amazon_beauty,1,5,running,0.007100,,,,,,2026-04-15T11:14:08.632575Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A06_h16_width_tune,template,explore,H16,v3_amazon_h16,amazon width/depth mix,tpe,v3_amazon_h16,cross_dataset,12,0.0008,0.0002
0.076600,0.025700,P4XD_XD_AMAZON_BEAUTY_A01_H8_COMPACT_ANCHOR_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,0,run_complete_no_result,0.000000,,,False,False,,2026-04-15T11:14:34.001047Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A01_h8_compact_anchor,template,exploit,H8,v3_amazon_default_outlier+compact_transfer,amazon fast compact anchor,tpe,v3_amazon_default_outlier+compact_transfer,cross_dataset,12,0.0008,0.0002
0.076600,0.019800,P4XD_XD_AMAZON_BEAUTY_A03_H9_MICRO_REG_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,2,run_complete_no_result,0.000000,,,False,False,,2026-04-15T11:14:56.260785Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A03_h9_micro_reg,template,exploit,H9,compact_amazon_probe,ultracompact amazon probe,tpe,compact_amazon_probe,cross_dataset,12,0.0008,0.0002
0.076600,0.065200,P4XD_XD_AMAZON_BEAUTY_A08_H6_E2_COMPACT_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,7,run_complete_no_result,0.017900,,,False,False,,2026-04-15T11:17:04.028941Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A08_h6_e2_compact,template,transfer,H6,kuai_h6_e2_core,compact stable transfer,tpe,kuai_h6_e2_core,cross_dataset,12,0.0005,0.0001
0.076600,0.031100,P4XD_XD_AMAZON_BEAUTY_A10_H3_REGULARIZED_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,3,run_complete_no_result,0.001500,,,False,False,,2026-04-15T11:17:25.821797Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A10_h3_regularized,template,transfer,H3,v3_compact_reg,compact regularized backup,tpe,v3_compact_reg,cross_dataset,12,0.0008,0.0002
0.076600,0.049000,P4XD_XD_AMAZON_BEAUTY_A11_DROPOUT_SCHED_PROBE_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,0,run_complete_no_result,0.000000,,,False,False,,2026-04-15T11:17:47.403454Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A11_dropout_sched_probe,template,new_axis,H8,baseline_reg_relief_style,dropout+scheduler exploration,tpe,baseline_reg_relief_style,cross_dataset,12,0.0008,0.0002
0.076600,0.062400,P4XD_XD_AMAZON_BEAUTY_A05_H14_CAPACITY_TRANSFER_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,4,run_complete_no_result,0.013800,,,False,False,,2026-04-15T11:18:12.192681Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A05_h14_capacity_transfer,template,transfer,H14,kuai_h14_capacity,capacity transfer from Kuai,tpe,kuai_h14_capacity,cross_dataset,12,0.0005,0.0001
0.076600,0.076600,P4XD_XD_AMAZON_BEAUTY_A06_H16_WIDTH_TUNE_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,5,run_complete_no_result,0.007100,,,False,False,,2026-04-15T11:18:34.110842Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A06_h16_width_tune,template,explore,H16,v3_amazon_h16,amazon width/depth mix,tpe,v3_amazon_h16,cross_dataset,12,0.0008,0.0002
0.076600,0.072200,P4XD_XD_AMAZON_BEAUTY_A07_H10_LEN25_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,6,run_complete_no_result,0.011200,,,False,False,,2026-04-15T11:18:55.986842Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A07_h10_len25,template,transfer,H10,kuai_h10_context,context transfer for amazon,tpe,kuai_h10_context,cross_dataset,12,0.0005,0.0001
0.076600,0.036200,P4XD_XD_AMAZON_BEAUTY_A09_H2_REGULARIZED_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,1,run_complete_no_result,0.000000,,,False,False,,2026-04-15T11:19:18.098688Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A09_h2_regularized,template,transfer,H2,kuai_h2_regularized+amazon_transfer,regularized low-cap transfer,tpe,kuai_h2_regularized+amazon_transfer,cross_dataset,12,0.0008,0.0002
0.076600,0.066300,P4XD_XD_AMAZON_BEAUTY_A12_AUXWIDE_PROBE_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,run_complete,amazon_beauty,1,2,run_complete_no_result,0.009300,,,False,False,,2026-04-15T11:22:53.968616Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,cross_dataset,A12_auxwide_probe,template,new_axis,H16,baseline_special_probe,leave aux terms somewhat wide,tpe,baseline_special_probe,cross_dataset,12,0.0008,0.0002
